OP,Tiros Generales,Producto,Fecha de despacho
1152,146250,PARA TI 4972,26/10/2017
1153,4000,REVISTA MADYGRAF,3/11/2017
1154,241440,COSMOPOLITAN 255,27/10/2017
1155,110640,VANIDADES 57-11,30/10/2017
1157,341250,GENTE 2729,2/11/2017
1158,146250,PARA TI 4973,2/11/2017
1159,7500,FOLLETOS PAMPA,30/10/2017
1160,448875,PAPARAZZI 835,3/11/2017
1161,40000,LA VALIJITA ESPECIAL 90,6/11/2017
1162,80000,DIARIO BOLETIN,8/11/2017
1163,360750,GENTE 2730,10/11/2017
1164,150000,DECOPLUS 17,10/11/2017
1165,146250,PARA TI 4974,10/11/2017
1166,382375,PAPARAZZI 836,10/11/2017
1167,70000,DIARIO ATE,15/11/2017
1168,75000,LA VALIJITA 170,15/11/2017
1169,439500,FOLLETO BRINGERI,21/11/2017
1170,60000,FOLLETOS PAMPA,21/11/2017
1171,225000,FOLLETOS AUTHOGAR,21/11/2017
1172,275000,FOLLETOS CASA SILVIA,17/11/2017
1173,240000,FOLLETOS SAMPIETRO,15/11/2017
1174,19000,REVISTA GALLARETA,15/11/2017
1176,105000,FOLLETO TRIPTICO CHACO,24/11/2017
1177,399750,GENTE 2731,18/11/2017
1178,146250,PARA TI 4975,17/11/2017
1180,375000,FOLLETOS FAVA,17/11/2017
1183,190000,FOLLETOS PEROZZI,22/11/2017
1184,270000,FOLLETOS ALOISE,22/11/2017
1185,220500,PARA TI 4976,23/11/2017
1186,301875,GENTE 2732,24/11/2017
1187,186725,MUY INTERESANTE 386,23/11/2017
1188,359375,PAPARAZZI 838,30/11/2017
1189,0,TARJETAS,27/11/2017
1190,50000,REVISTA FJU,14/12/2017
1191,150880,COSMOPOLITAN 256,1/12/2017
1192,100240,VANIDADES 57-12,1/12/2017
1193,316125,GENTE 2733,30/11/2017
1194,157250,PARA TI 4977,30/11/2017
1195,359375,PAPARAZZI 839,30/11/2017
1196,45000,FOLLETO TRIPTICO MAR DEL PLATA,5/12/2017
1197,396000,GENTE 2734,6/12/2017
1198,116250,PARA TI 4978,7/12/2017
1199,33675,PAPARAZZI 840,6/12/2017
1200,175000,FOLLETO & PAG,11/12/2017
1201,190000,FOLLLETOS PEROZZI,12/12/2017
1202,440000,FOLLETOS ALOISE,12/12/2017
1203,300000,FOLLETOS FAVA,12/12/2017
1204,180000,FOLLETOS AUTHOGAR,21/12/2017
1205,240000,FOLLETOS SAMPIETRO,13/12/2017
1206,70000,DIARIO ATE,13/12/2017
1208,67500,LA VALIJITA 171,14/12/2017
1209,338250,GENTE 2735,15/12/2017
1210,336375,PAPARAZZI 841,14/12/2017
1211,116250,PARA TI 4979,14/12/2017
1212,50000,REIMPRESION REVISTA FJO,20/12/2017
1213,321750,GENTE 2736,21/12/2017
1214,116250,PARA TI 4980,22/12/2017
1215,336375,PAPARAZZI 842,22/12/2017
1216,165440,COSMOPOLITAN 257,27/12/2017
1217,288750,GENTE 2737,28/12/2017
1218,123750,PARA TI 4981,28/12/2017
1219,336375,PAPARAZZI 843,28/12/2017
1220,165275,MUY INTERESANTE 387,29/12/2017
1221,108240,VANIDADES 58-01,28/12/2017
1222,400000,DIARIO ACCION MUNICIPAL,2/01/2018
1223,305250,GENTE 2738,4/01/2018
1224,131250,PARA TI 4982,4/01/2018
1225,336375,PAPARAZZI 844,4/01/2018
1226,210000,FOLLETOS SAMPIETRO,23/01/2018
1227,180000,FOLLETOS AUTHOGAR,9/01/2018
1228,327375,GENTE 2739,15/01/2018
1229,131250,PARA TI 4983,11/01/2018
1230,296125,PAPARAZZI 845,11/01/2018
1231,67500,LA VALIJITA 172,18/01/2018
1232,210000,FOLLETOS CASA SILVIA,23/01/2018
1233,60000,FOLLETOS PAMPA,17/01/2018
1234,190000,FOLLETOS PEROZZI,18/01/2018
1235,270000,FOLLETOS ALOISE,30/01/2018
1236,300000,FOLLETOS FAVA,18/01/2018
1237,164250,MATEMATICA 1,20/04/2018
1238,236250,MATEMATICA 2,9/04/2018
1239,282750,MATEMATICA 3,18/01/2018
1240,403650,AVENTURA MATEMATICA 7/1,9/04/2018
1241,321750,GENTE 2740,18/01/2018
1242,131250,PARA TI,18/01/2018
1243,296125,PAPARAZZI 846,22/01/2018
1244,263500,GENTE 2741,25/01/2018
1245,131250,PARA TI,25/01/2018
1246,296125,PAPARAZZI,25/01/2018
1247,158125,MUY INTERESANTE,29/01/2018
1248,165440,COSMOPOLITAN 258,1/02/2018
1249,297500,GENTE 2742,1/02/2018
1250,131250,PARA TI 4986,1/02/2018
1251,296125,PAPARAZZI 848,1/02/2018
1252,112240,VANIDADES 58-02,1/02/2018
1253,289000,GENTE 2743,9/02/2018
1254,131250,PARA TI 4987,8/02/2018
1255,296125,PAPARAZZI 849,8/02/2018
1256,67500,LA VALIJITA 173,9/02/2018
1257,60000,DIARIO ATE,9/02/2018
1258,289000,GENTE 2744,16/02/2018
1259,230000,FOLLETOS CASA SILVIA,21/02/2018
1260,131250,PARA TI 4988,19/02/2018
1261,296125,PAPARAZZI 850,19/02/2018
1262,180000,FOLLETOS AUTHOGAR,20/02/2018
1263,210000,FOLLETOS SAMPIETRO,20/02/2018
1264,52500,FOLLETOS PAMPA,21/02/2018
1265,300000,FOLLETOS FAVA,20/02/2018
1266,270000,FOLLETOS ALOISE,20/02/2018
1267,190000,FOLLETOS PEROZZI,20/02/2018
1268,125,DIARIO PRUEBA,21/02/2018
1269,266333,GENTE 2746,26/02/2018
1270,131250,PARA TI 4989,27/02/2018
1271,333500,PAPARAZZI 851,23/02/2018
1272,150840,COSMOPOLITAN 259,28/02/2018
1273,151030,MUY INTERESANTE 389,5/03/2018
1274,303250,GENTE 2746,5/03/2018
1275,333500,PAPARAZZI 852,1/03/2018
1276,131250,PARA TI 4990,2/03/2018
1277,103350,VANIDADES 58-03,6/03/2018
1278,323000,GENTE 1276,9/03/2018
1279,333500,PAPARAZZI 853,8/03/2018
1280,63750,LA VALIJITA 174,9/03/2018
1281,150000,EL AJUAR DEL BEBE 37,12/03/2018
1282,5000,LOGO LOGISTICA EKLOG,13/03/2018
1283,70000,DIARIO ATE,14/03/2018
1284,240000,FOLLETO CASA SILVIA ABRIL,15/03/2018
1285,160000,FOLLETO AUTOHOGAR ABRIL,15/03/2018
1286,52500,FOLLETO PAMPA ABRIL,15/03/2018
1287,283333,GENTE 2748,16/03/2018
1288,131250,PARA TI 4992,15/03/2018
1289,333500,PAPARAZZI 1289,15/03/2018
1290,12500,VOLANTE PTS,16/03/2018
1291,300000,FOLLETO FAVA ABRIL,20/03/2018
1292,190000,FOLLETO PEROZZI ABRIL,22/03/2018
1293,270000,FOLLETO ALOISE ABRIL,22/03/2018
1294,152440,COSMOPOLITAN 260 ABRIL,26/03/2018
1294,400000,DIARIO ACCION MUNICIPAL ABRIL,22/03/2018
1295,263500,GENTE 2749,22/03/2018
1296,131250,PARA TI 4993,22/03/2018
1297,333500,PAPARAZZI 855,22/03/2018
1298,149930,MUY INTERESANTE 390 ABRIL,26/03/2018
1300,210000,FOLLETO SAMPIETRO ABRIL,27/03/2018
1301,103350,VANIDADES 58-04,29/03/2018
1302,562500,REVISTA APAISADA,29/03/2018
1303,229300,GENTE 2750,28/03/2018
1304,333500,PAPARAZZI 856,29/03/2018
1305,160000,FOLLETO AUTOHOGAR MAYO,3/04/2018
1306,180000,TEJIDO EXPRESS DOS AGUJAS 76,9/04/2018
1307,263500,GENTE 2751,9/04/2018
1308,131250,PARA TI 4995,9/04/2018
1309,333500,PAPARAZZI 857,9/04/2018
1310,35000,LA VALIJITA ESPECIAL 91,9/04/2018
1311,35000,FOLLETO PAMPA MAYO,18/04/2018
1312,200000,FOLLETO FAVA MAYO,11/04/2018
1313,263500,GENTE 2752,12/04/2018
1314,131250,PARA TI 4996,12/04/2018
1315,333500,PAPARAZZI 858,12/04/2018
1316,63750,LA VALIJITA 175,13/04/2018
1317,10000,DIARIO ATE ESPECIAL 4 PAGINAS,16/04/2018
1318,141000,GUIA DE PUNTOS CROCHET 25,24/04/2018
1319,240000,FOLLETO CASA SILVIA MAYO,18/04/2018
1320,210000,FOLLETO SAMPIETRO MAYO,18/04/2018
1321,30000,DIARIO ATE SANTA FE,20/04/2018
1322,263500,GENTE 2753,19/04/2018
1323,137000,PARA TI 4997 NACIONAL Y URUGUAY,19/04/2018
1324,330625,PAPARAZZI 859,19/04/2018
1325,152440,COSMOPOLITAN 261 MAYO,23/04/2018
1326,190000,FOLLETO PEROZZI MAYO,25/04/2018
1327,270000,FOLLETO ALOISE MAYO,25/04/2018
1328,297500,GENTE 2754,26/04/2018
1329,127500,PARA TI 4998,26/04/2018
1330,327750,PAPARAZZI 860,26/04/2018
1331,139480,MUY INTERESANTE 391 MAYO,27/04/2018
1332,102600,VANIDADES 58-05 MAYO,27/04/2018
1333,2200,REVISTA IMPRESIONES OBRERAS,27/04/2018
1334,299750,GENTE 2755 NACIONAL Y URUGUAY,4/05/2018
1335,127500,PARA TI 4999,3/05/2018
1336,327750,PAPARAZZI 861,3/05/2018
1337,268250,LIBRO DE ORO TEJIDOS 18,8/05/2018
1338,6250,VOLANTE PTS,8/05/2018
1339,150000,DECOPLUS 18,9/05/2018
1340,30000,LA VALIJITA ESPECIAL 92,9/05/2018
1341,52500,FOLLETO PAMPA JUNIO,18/05/2018
1342,255750,GENTE 2756,10/05/2018
1343,28000,TEJIDO EXPRESS 77,10/05/2018
1344,324875,PAPARAZI 862,10/05/2018
1345,62225,LA VALIJITA 176,16/05/2018
1346,40000,DIARIO 4 PAGINAS,16/05/2018
1347,200000,FOLLETO FAVA JUNIO,16/05/2018
1348,190000,FOLLETO PEROZZI JUNIO,17/05/2018
1349,87500,DIARIO ATE,16/05/2018
1350,240000,FOLLETO CASA SILVIA JUNIO,17/05/2018
1351,160000,FOLLETO AUTOHOGAR JUNIO,17/05/2018
1352,210000,FOLLETO SAMPIETRO JUNIO,18/05/2018
1353,270000,FOLLETO ALOISE JUNIO,17/05/2018
1354,272250,GENTE 2757,17/05/2018
1355,127500,PARA TI 5001,17/05/2018
1356,296625,PAPARAZI 863,21/05/2018
1357,130800,COSMOPOLITAN 262 JUNIO,23/05/2018
1358,98850,VANIDADES 58-06,28/05/2018
1359,240250,GENTE 2758,24/05/2018
1360,105600,PARA TI 5002 NACIONAL Y URUGUAY,24/05/2018
1361,267750,PAPARAZZI 864,28/05/2018
1362,126170,MUY INTERESANTE 3962 JUNIO,6/06/2018
1363,120000,PARA TI CROCHET 23,30/05/2018
1364,211334,GENTE 2759,31/05/2018
1365,116250,PARA TI 5003,5/06/2018
1366,267750,PAPARAZZI 865,4/06/2018
1367,30000,LA VALIJITA ESPECIAL 93,6/06/2018
1368,271250,GENTE 2760,8/06/2018
1369,112500,PARA TI 5004,6/06/2018
1370,267750,PAPARAZZI 866,8/06/2018
1371,40000,VOLANTE TABLOIDE,8/06/2018
1372,28000,TEJIDOS EXPRESS 78,12/06/2018
1373,58000,LA VALIJITA 177,14/06/2018
1374,240250,GENTE 2761,14/06/2018
1375,112500,PARA TI 5005,15/06/2018
1376,257250,PAPARAZZI 867,15/06/2018
1377,240000,FOLLETO CASA SILVIA JULIO,20/06/2018
1378,140000,FOLLETO AUTOHOGAR JULIO,19/06/2018
1379,210000,FOLLETO SAMPIETRO JULIO,18/06/2018
1380,60000,DIARIO CTA,19/06/2018
1381,200000,FOLLETO FAVA JULIO,19/06/2018
1382,240250,GENTE 2762,21/06/2018
1383,98500,PARA TI 5006 NACIONAL Y URUGUAY,21/06/2018
1384,254625,PAPARAZZI 868,21/06/2018
1385,170000,DIARIO ACCION MUNICIPAL JULIO,26/06/2018
1386,169719,COSMOPOLITAN 263 JULIO,26/06/2018
1387,106350,VANIDADES 58-07 JULIO,26/06/2018
1388,123420,MUY INTERESANTE 393 JULIO,26/06/2018
1389,75000,FOLLETO ALOISE JULIO,28/08/2018
1390,190000,FOLLETO PEROZZI JULIO,28/06/2018
1391,271250,GENTE 2763,29/08/2018
1392,112500,PARA TI 5007,28/06/2018
1393,254625,PAPARAZZI 869,28/06/2018
1394,25000,CARTILLA MEDICA MUNICIPALIDAD DE ESCOBAR,5/07/2018
1395,75000,DIARIO ATE,12/07/2018
1396,228125,GENTE 2764,5/07/2018
1397,108750,PARA TI 5008,10/07/2018
1398,252000,PAPARAZZI 870,5/07/2018
1399,90000,TEJIDOS PARA TODA LA FAMILIA 79,6/07/2018
1400,5000,SUPLEMENTO LID,10/07/2018
1401,27000,LA VALIJITA ESPECIAL 94,11/07/2018
1402,224750,GENTE 2765,12/07/2018
1403,108750,PARA TI 5009,13/07/2018
1404,252000,PAPARAZZI 871,12/07/2018
1405,42000,GUIA DE PUNTOS DOS AGUJAS 20,12/07/2018
1406,60500,LA VALIJITA 178,13/07/2018
1407,40000,DIARIO ACCION MUNICIPAL SOBRETIRAJE,13/07/2018
1408,3600,AFICHES ENTRADAS Y FLYERS,16/07/2018
1409,200000,FOLLETO FAVA AGOSTO,17/07/2018
1410,232500,GENTE 2766,19/07/2018
1411,92170,PARA TI 5010,19/07/2018
1412,249375,PAPARAZZI 872,19/07/2018
1413,123225,COSMOPOLITAN 264,19/07/2018
1414,160000,FOLLETO AUTOHOGAR AGOSTO,20/07/2018
1415,210000,FOLLETO SAMPIETRO AGOSTO,20/07/2018
1416,33000,FOLLETO PAMPA AGOSTO,20/07/2018
1417,240000,FOLLETO CASA SILVIA AGOSTO,20/07/2018
1419,102562,VANIDADES 58-08 AGOSTO,24/07/2018
1420,232500,GENTE 2767,26/07/2018
1421,105000,PARA TI 5011,26/07/2018
1422,249375,PAPARAZZI 873,26/07/2018
1423,119570,MUY INTERESANTE 394 AGOSTO,26/07/2018
1424,190000,FOLLETO PEROZZI AGOSTO,27/07/2018
1425,112500,FOLLETO ALOISE AGOSTO,27/07/2018
1426,20000,FOLLETO MEGA DIGITAL,2/08/2018
1427,105000,PARA TI 5012,3/08/2018
1428,249375,PAPARAZZI 874,3/08/2018
1429,22500,LA VALIJITA ESPECIAL 95,16/08/2018
1430,28000,TEJIDOS EXPRESS 80,9/08/2018
1431,249375,PAPARAZZI 875,10/08/2018
1432,52500,LA VALIJITA 179,16/08/2018
1433,254625,PAPARAZZI 876,16/08/2018
1434,105000,PARA TI 5014,16/08/2018
1435,87500,DIARIO ATE,22/08/2018
1436,240000,FOLLETO CASA SILVIA SEPTIEMBRE,21/08/2018
1437,210000,FOLLETO SAMPIETRO SEPTIEMBRE,28/08/2018
1438,140000,FOLLETO AUTOHOGAR SEPTIMBRE,28/08/2018
1439,33000,FOLLETO PAMPA SEPTIEMBRE,21/08/2018
1440,200000,FOLLETO FAVA SEPTIEMBRE,22/08/2018
1441,252000,PAPARAZZI 887,24/08/2018
1442,120225,COSMOPOLITAN 265 SEPTIEMBRE,24/08/2018
1443,102562,VANIDADES 58-09 SEPTIEMBRE,17/09/2018
1444,21000,FOLLETO SAMPIETRO SEPTIEMBRE REIMPRESION,28/08/2018
1445,117920,MUY INTERESANTE 395 SEPTIEMBRE,28/08/2018
1446,100000,FOLLETO PEROZZI SEPTIEMBRE,7/09/2018
1447,112500,FOLLETO ALOISE SEPTIEMBRE,29/08/2018
1448,252000,PAPARAZZI 878,30/08/2018
1449,250000,DIARIO ACCION MUNICIPAL SEPTIEMBRE,31/08/2018
1450,80,ENTRADAS MADYGRAF,5/09/2018
1451,16250,FOLLETO PTS,6/09/2018
1452,252000,PAPARAZZI 879,7/09/2018
1453,20000,LA VALIJITA ESPECIAL 96,10/09/2018
1454,38560,LA VALIJITA 180,12/09/2018
1455,66000,TEJIDOS EXPRES DOS AGUJAS 81,11/09/2018
1456,140000,FOLLETO SAMPIETRO OCTUBRE,19/09/2018
1459,249375,PAPARAZZI 880,14/09/2018
1460,63750,DECOPLUS 19,14/09/2018
1461,500,FLYERS MADYGRAF,17/09/2018
1462,9000,BILLIKEN ONE SHOT A BUSCAR EN LA CIUDAD APAISADA,19/09/2018
1463,160000,FOLLETO FAVA OCTUBRE,19/09/2018
1464,249375,PAPARAZZI 881,20/09/2018
1465,35000,EL AJUAR DEL BEBE 38,21/10/2018
1466,15000,FOLLETO FERIA PURO DISEÑO OCTUBRE 2018,4/10/2018
1467,3000,TARJETAS VARIAS,21/09/2018
1468,60000,DIARIO CTA,26/09/2018
1469,114070,MUY INTERESANTE 396,26/09/2018
1470,113475,COSMOPOLITAN 266 OCTUBRE,2/10/2018
1473,246750,PAPARAZZI 882,28/09/2018
1474,100312,VANIDADES 58-10,2/10/2018
1475,190000,FOLLETO PEROZZI OCTUBRE,2/10/2018
1476,112500,FOLLETO ALOISE OCTUBRE,2/10/2018
1477,15000,VOLANTE A4 PTS,28/09/2018
1478,200000,FOLLETO AUTOHOGAR OCTUBRE,28/09/2018
1479,33000,FOLLETO PAMPA OCTUBRE,2/10/2018
1480,62500,DIARIO ATE OCTUBRE,2/10/2018
1481,246750,PAPARAZZI 883,5/10/2018
1482,20000,LA VALIJITA ESPECIAL 97,11/10/2018
1483,294000,PARA TI DECO 165,13/12/2018
1484,246750,PAPARAZZI 884,16/10/2018
1485,3000,AFICHE ASTILLERO,12/10/2018
1486,37360,LA VALIJITA 181,16/10/2018
1487,17500,VOLANTE A4 PTS,18/10/2018
1488,16666,CARTON PARA BOLSA CODIGO PK075,17/10/2018
1489,10000,CARTON PARA BOLSA CODIGO PK076,17/10/2018
1490,246750,PAPARAZZI 885,22/10/2018
1491,40000,DIARIO CTA,19/10/2018
1492,140000,FOLLETO FAVA NOVIEMBRE,22/10/2018
1493,30000,FOLLETO PAMPA NOVIEMBRE,23/10/2018
1494,105975,COSMOPOLITAN 267,24/10/2018
1495,98812,VANIDADES 58-12,24/10/2018
1496,210000,FOLLETO SAMPIETRO NOVIEMBRE,25/10/2018
1497,140000,FOLLETO AUTOHOGAR NOVIEMBRE,25/10/2018
1498,244125,PAPARAZZI 886,25/10/2018
1499,114070,MUY INTERESANTE 397,25/10/2018
1500,1250,CUADERNO MADYGRAF,30/10/2018
1501,150000,FOLLETO ALOISE NOVIEMBRE,30/10/2018
1502,190000,FOLLETO PEROZZI NOVIEMBRE,30/10/2018
1503,22500,VOLANTE TABLOIDE,31/10/2018
1504,240000,DIARIO ACCION MUNICIPAL OCTUBRE,31/10/2018
1505,75000,DIARIO ATE NOVIEMBRE,1/11/2018
1506,244125,PAPARAZZI 887,6/11/2018
1507,30000,FOLLETO PAMPA DICIEMBRE,8/11/2018
1510,244125,PAPARAZZI 888,12/11/2018
1511,37360,LA VALIJITA 182,13/11/2018
1512,20000,LA VALIJITA ESPECIAL98,15/11/2018
1513,62500,REVISTA FJU IGLESIA UNIVERSAL,14/11/2018
1514,50,PRUEBA DE IMPRESION FACTURAS TELE RED,15/11/2018
1515,48750,DECOPLUS,20/11/2018
1516,244125,PAPARAZZI 889,15/11/2018
1517,160000,FOLLETO FAVA DICIEMBRE,20/11/2018
1518,16666,CARTON PARA BOLSA CODIGO PK075,21/11/2018
1519,10000,CARTON PARA BOLSA CODIGO PK076,21/11/2018
1520,210000,FOLLETO SAMPIETRO DICIEMBRE,23/11/2018
1521,200000,FOLLETO AUTOHOGAR NOVIEMBRE,22/11/2018
1522,10000,VOLANTE TABLOIDE,22/11/2018
1523,238875,PAPARAZZI 890,22/11/2018
1524,102225,COSMOPOLITAN 268,22/11/2018
1525,98812,VANIDADES 58-12,22/11/2018
1526,114070,MUY INTERESANTE 398,22/11/2018
1527,190000,FOLLETO PEROZZI DICIEMBRE,3/12/2018
1528,150000,FOLLETO ALOISE DICIEMBRE,26/11/2018
1529,,REVISTA APAISADA MUNICIPIO DE ESCOBAR,31/1/2019
1530,238875,PAPARAZZI 891,3/12/2018
1531,238875,PAPARAZZI 892,17/12/2018
1532,210000,PARA TI DECO 166,13/12/2018
1533,238875,PAPARAZZI 893,13/12/2018
1534,150000,FOLLETO ALOISE ENERO,18/12/2018
1535,160000,FOLLETO FAVA ENERO,18/12/2018
1536,238875,PAPARAZZI 894,20/12/2018
1537,160000,FOLLETO AUTOHOGAR ENERO,27/12/2018
1538,228375,PAPARAZZI 895,28/12/2018
1539,93750,COSMOPOLITAN 269,2/1/2019
1540,93750,VANIDADES 59-01,4/1/2019
1541,110000,MUY INTERESANTE399,2/1/2019
1542,3500,PARA TEENS 183,2/1/2019
1543,228375,PAPARAZZI 896,4/1/2019
1544,228375,PAPARAZZI 897,14/1/2019
1545,50000,CARTON PARA BOLSAS CODIGO PK075,15/1/2019
1546,10000,CARTON PARA BOLSAS CODIGO PK076,15/1/2019
1547,228375,PAPARAZZI 898,22/1/2019
1548,160000,FOLLETO FAVA FEBRERO,22/1/2019
1549,160000,FOLLETO AUTOHOGAR FEBRERO,23/1/2019
1550,3500,PARA TEENS 184,25/1/2019
1551,220500,PAPARAZZI 899,29/1/2019
1552,7500,FOLLETO DIPTICO,27/1/2019
1553,1500,VOLANTES AS,1/2/2019
1554,2000,AFICHES,7/2/2019
1555,93000,COSMOPOLITAN 270,30/1/2019
1556,262500,PAPARAZZI 900,1/2/2019
1557,262500,PAPARAZZI 901,7/2/2019
1559,93750,VANIDADES 59-02,4/2/2019
1560,108900,MUY INTERESANTE 400,4/2/2019
1561,212500,AIRE LIBRE N°38,
1562,40000,FOLLETO,20/2/2019
1563,262500,PAPARAZZI N°902,19/2/2019
1564,400000,DIARIO CATALEJO,21/2/2019
1565,240000,FOLLETOS FAVA MARZO,25/2/2019
1566,240000,FOLLETOS AUTHOGAR MARZO,28/2/2019
1567,60000,FOLLETOS PAMPA MARZO,28/2/2019
1568,262500,PAPARAZZI N°903,26/2/2019
1569,93750,VANIDADES N°59-03 - MARZO,8/3/2019
1570,93000,COSMOPOLITAN N°271 MARZO,12/3/2019
1571,108900,MUY INTERESANTE 401 MARZO,11/3/2019
1572,3500,PARA TEENS N°185 LAMINA,1/3/2019
1573,250000,FOLLETO 8 PAGINAS,6/3/2019
1574,50000,FOLLETO 8 PAGINAS,6/3/2019
1575,220500,PAPARAZZI N°904,6/3/2019
1576,7500,FOLLETO,9/3/2019
1577,262500,PAPARAZZI N°905,12/3/2019
1578,125000,DIARIO ATE MARZO,14/3/2019
1579,21875,CUADERNO 48 HOJAS,12/3/2019
1580,215250,PAPARAZZI N°906,13/3/2019
1581,5000,AFICHE,19/3/2019
1582,240000,FOLLETOS FAVA MARZO,22/3/2019
1583,60000,FOLLETOS PAMPA ABRIL,29/3/2019
1584,50,CUADERNO 96 HOJAS,21/3/2019
1585,8333,VOLANTE SHEETER,21/3/2019
1585,8333,VOLANTE PTS,
1586,215250,PAPARAZZI N°907,23/3/2019
1587,2000,AFICHE,25/3/2019
1588,80000,FOLLETOS AUTHOGAR ABRIL,29/3/2019
1589,3500,PARA TEENS 186,3/4/2019
1590,23200,BOLETAS MENDOZA PTS,28/3/2019
1591,215250,PAPARAZZI N°908,3/4/2019
1592,25000,VOLANTE PTS,5/4/2019
1593,,DIARIO ACCION MUNICIPAL ABRIL,5/4/2019
1594,3000,AFICHE LINEA 60,3/4/2019
1595,18750,VOLANTE,5/4/2019
1596,215250,PAPARAZZI N°909,9/4/2019
1597,,AFICHE REGGAE,9/4/2019
1598,1000,AFICHE PEÑA,9/4/2019
1599,256250,PAPARAZZI N°910,16/4/2019
1600,240000,FOLLETOS AUTOHOGAR MAYO,29/4/2019
1601,240000,FOLLETOS FAVA MAYO,25/4/2019
1602,60000,FOLLETOS PAMPA MAYO,29/4/2019
1603,260000,FOLLETOS CASA SILVIA MAYO,25/4/2019
1604,140000,CARTON PARA BOLSAS,16/4/2019
1609,256250,Paparazzi N°911,23/4/2019
1610,60000,FOLLETO TABLOIDE,24/4/2019
1611,256250,PAPARAZZI 912,25/4/2019
1612,382500,LIBRO LA MAQUINA DEL TIEMPO,29/4/2019
1613,2000,AFICHE FESTIVAL MADYGRAF,30/4/2019
1614,256250,PAPARAZZI 913,6/5/2019
1615,20000,VOLANTE PTS JUJUY,6/5/2019
1616,62500,GENTE 2807,7/5/2019
1617,27000,BOLETAS 2 MENDOZA ZONA 1 PTS,9/5/2019
1618,16100,BOLETAS 2 MENDOZA ZONA 2 PTS,9/5/2019
1619,10000,BOLETAS MENDOZA ZONA 3 PTS,9/5/2019
1620,63000,BOLETAS MENDOZA ZONA 4 PTS,10/5/2019
1621,30700,BOLETAS MENDOZA ZONA 5 PTS,9/5/2019
1622,69000,BOLETAS MENDOZA ZONA 6 PTS,10/5/2019
1623,105100,BOLETAS MENDOZA ZONA 7 PTS,9/5/2019
1624,215250,PAPARAZZI 914,10/5/2019
1625,65000,GENTE 2808,10/5/2019
1626,3500,PARA TEENS 187,20/5/2019
1631,125000,BOLETAS FIT JUJUY,15/5/2019
1632,160000,FOLLETO AUTOHOGAR JUNIO,17/5/2019
1633,60000,FOLLETO PAMPA JUNIO,17/5/2019
1634,160000,FOLLETO FAVA JUNIO,21/5/2019
1635,173250,PAPARAZZI 950,17/5/2019
1636,240000,DIARIO ACCION MUNICIPAL MAYO,21/5/2019
1639,173250,PAPARAZZI N°916,28/5/2019
1640,1500,AFICHE FESTIVAL MADYGRAF KERMESSE,30/5/2019
1644,168000,PAPARAZZI N°917,4/6/2019
1645,120000,REVISTA ESCOBAR,6/6/2019
1646,190625,PAPARAZZI 918,6/6/2019
1647,38000,BILLIKEN 5141,12/6/2019
1648,75000,DIARIO ATE JUNIO,12/6/2019
1649,184437,PAPARAZZI 919,13/6/2019
1650,3500,PARA TEENS REVIPOSTER 6,14/6/2019
1651,240000,FOLLETO FAVA JULIO,18/6/2019
1652,240000,FOLLETO AUTHOGAR,18/6/2019
1653,60000,FOLLETO PAMPA JULIO,18/6/2019
1654,260000,FOLLETO CASA SILVIA JULIO,24/6/2019
1655,157500,PAPARAZZI 920,24/6/2019
1657,26666,VOLANTE PTS,27/6/2019
1659,187500,PAPARAZZI 921,27/6/2019
1661,157500,PAPARAZZI N°922,10/7/2019
1662,203800,DIARIO CATALEJO JULIO,
1662,26200,DIARIO CATALEJO JULIO,8/7/2019
1663,333333,BOLETAS 2 CUERPOS GALVAN,12/7/2019
1664,25000,FOLLETO PTS,12/7/2019
1665,25000,RENGLON 34 MAR DEL PLATA,14/7/2019
1666,10555,BOLETAS CORRIENTES PTS,11/7/2019
1667,33333,BOLETAS JUJUY PTS,12/7/2019
1668,187500,PAPARAZZI N°923,16/7/2019
1669,2000,PARA TEENS REVIPOSTER N° 7,22/7/2019
1671,122222,BOLETAS SANTA FE PTS,15/7/2019
1672,10000,DIARIO CCK,17/7/2019
1673,104444,BOLETAS MENDOZA PTS,17/7/2019
1674,80000,"BOLETAS COMUNA 1,2,3 PTS",
1675,80000,"BOLETAS COMUNA 4,5,6 PTS",
1676,53333,"BOLETAS COMUNA 7,8 PTS",
1677,10000,RENGLON 34 PROVINCIA DE BS AS,19/7/2019
1678,157500,PAPARAZZI N°924,23/7/2019
1681,160000,FOLLETOS FAVA AGOSTO,25/7/2019
1682,15500,FOLLETO ATE,19/7/2019
1683,10000,RENGLON 34 PROVINCIA DE BS AS A3,19/7/2019
1684,50000,BOLETAS 5 CUERPOS ZONA 1,24/7/2019
1685,35000,BOLETAS 5 CUERPOS ZONA 2,24/7/2019
1686,16000,BOLETAS 5 CUERPOS ZONA 3,24/7/2019
1687,19000,BOLETAS 5 CUERPOS ZONA 4,24/7/2019
1688,75000,BOLETAS 4 CUERPOS ZONA 5,24/7/2019
1689,333333,BOLETAS 5 CUERPOS,
1690,15000,BOLETAS 5 CUERPOS ZONA 6,24/7/2019
1691,100000,BOLETAS 5 CUERPOS CAMBIEMOS MORON,24/7/2019
1692,350000,BOLETAS 5 CUERPOS CONVINADAS,23/7/2019
1693,260000,BOLETAS 5 CUERPOS ZONA 7,
1694,11000,BOLETAS 5 CUERPOS ZONA 8,24/7/2019
