OP,Tiros Generales,Producto,Fecha de despacho
745,20000,REVISTAS COMBINADAS 5 MAS Y 6 MEGA,13/12/2016
746,20000,REVISTAS COMBINADAS 7 SUPER SOPA 8 EXTRA SOPA,13/12/2016
747,75000,LA VALIJITA 159,14/12/2016
748,185000,FOLLETOS PEROZZI ENERO,15/12/2016
749,200000,FOLLETOS ALOISE ENERO,22/12/2016
750,380000,FOLLETOS FAVA ENERO,15/12/2016
751,589506,GENTE 2683,19/12/2016
752,481875,PAPARAZZI 789,19/12/2016
753,172500,PARA TI 4927,16/12/2016
754,440075,COSMOPOLITAN 245 ENERO,22/12/2016
755,103725,VANIDADES 57-01,22/12/2016
756,579500,GENTE 2684,15/12/2016
757,491050,PAPARAZZI 790,26/12/2016
758,195000,PARA TI 4928,26/12/2016
759,480500,GENTE 2685,15/12/2016
760,240000,PARA TI 4929,2/01/2017
761,598000,PAPARAZZI 791,2/01/2017
762,417471,GENTE 2686,6/01/2017
763,240000,PARA TI 4930,5/01/2017
764,598000,PAPARAZZI 792,9/01/2017
765,70000,LIBROS COMBINADOS 1 CABALA Y 2 ESPECIAL,11/01/2017
766,60000,LIBROS COMBINADOS 3 INGENIO Y 4 MAS,11/01/2017
767,60000,LIBROS COMBINADOS 5 EXTRA Y 6 SUPER,11/01/2017
768,60000,LIBROS COMBINADOS 7 COMODIN Y 8 RECREO,11/01/2017
769,20000,REVISTAS COMBINADAS 1 CABALA Y 2 COMODIN REIMPRESION,24/01/2017
769,50000,REVISTAS COMBINADAS 1 CABALA Y 2 COMODIN,11/01/2017
770,40000,REVISTAS COMBINADAS 3 ESPECIAL Y 4 INGENIO,24/01/2017
771,40000,REVISTAS COMBINADAS 5 MAS Y 6 MEGA,11/01/2017
772,40000,REVISTAS COMBINADAS 7 SUPER SOPA 8 EXTRA SOPA,11/01/2017
773,50000,MANDALA ALMA,11/01/2017
774,40000,MANDALA PROPERIDAD,11/01/2017
775,40000,MANDALA CREATIVIDAD,11/01/2017
776,43333,MANDALA AMOR,11/01/2017
777,146250,LA VALIJITA 160,11/01/2017
778,360000,FOLLETOS FAVA FEBRERO,15/12/2016
779,185000,FOLLETOS PEROZZI FEBRERO,11/01/2017
780,100000,FOLLETOS ALOISE FEBRERO,28/01/2017
781,385305,GENTE 2687,12/01/2017
782,36000,LA VALIJITA ESPECIAL 83,12/01/2017
783,202500,PARA TI 4931,13/01/2017
784,577875,PAPARAZZI 793,17/01/2017
