DISPOSITIVO,timestamp_UTC,timestamp_LOCAL,P
Maquina de Bolsas,1697616600,2023-10-18 05:10:00 -03,147
Maquina de Bolsas,1697616300,2023-10-18 05:05:00 -03,164
Maquina de Bolsas,1697616000,2023-10-18 05:00:00 -03,173
Maquina de Bolsas,1697615701,2023-10-18 04:55:01 -03,148
Maquina de Bolsas,1697615400,2023-10-18 04:50:00 -03,164
Maquina de Bolsas,1697615101,2023-10-18 04:45:01 -03,171
Maquina de Bolsas,1697614801,2023-10-18 04:40:01 -03,148
Maquina de Bolsas,1697614500,2023-10-18 04:35:00 -03,160
Maquina de Bolsas,1697614201,2023-10-18 04:30:01 -03,157
Maquina de Bolsas,1697613900,2023-10-18 04:25:00 -03,162
Maquina de Bolsas,1697613601,2023-10-18 04:20:01 -03,180
Maquina de Bolsas,1697613300,2023-10-18 04:15:00 -03,183
Maquina de Bolsas,1697613001,2023-10-18 04:10:01 -03,178
Maquina de Bolsas,1697612700,2023-10-18 04:05:00 -03,159
Maquina de Bolsas,1697612401,2023-10-18 04:00:01 -03,187
Maquina de Bolsas,1697612100,2023-10-18 03:55:00 -03,197
Maquina de Bolsas,1697611811,2023-10-18 03:50:11 -03,144
Maquina de Bolsas,1697611520,2023-10-18 03:45:20 -03,180
Maquina de Bolsas,1697611250,2023-10-18 03:40:50 -03,167
Maquina de Bolsas,1697610900,2023-10-18 03:35:00 -03,156
Maquina de Bolsas,1697610601,2023-10-18 03:30:01 -03,203
Maquina de Bolsas,1697610300,2023-10-18 03:25:00 -03,146
Maquina de Bolsas,1697610001,2023-10-18 03:20:01 -03,164
Maquina de Bolsas,1697609700,2023-10-18 03:15:00 -03,160
Maquina de Bolsas,1697609401,2023-10-18 03:10:01 -03,145
Maquina de Bolsas,1697609100,2023-10-18 03:05:00 -03,152
Maquina de Bolsas,1697608800,2023-10-18 03:00:00 -03,146
Maquina de Bolsas,1697608501,2023-10-18 02:55:01 -03,153
Maquina de Bolsas,1697608200,2023-10-18 02:50:00 -03,175
Maquina de Bolsas,1697607901,2023-10-18 02:45:01 -03,155
Maquina de Bolsas,1697607600,2023-10-18 02:40:00 -03,169
Maquina de Bolsas,1697607300,2023-10-18 02:35:00 -03,154
Maquina de Bolsas,1697607001,2023-10-18 02:30:01 -03,154
Maquina de Bolsas,1697606700,2023-10-18 02:25:00 -03,169
Maquina de Bolsas,1697606401,2023-10-18 02:20:01 -03,181
Maquina de Bolsas,1697606100,2023-10-18 02:15:00 -03,176
Maquina de Bolsas,1697605801,2023-10-18 02:10:01 -03,179
Maquina de Bolsas,1697605500,2023-10-18 02:05:00 -03,165
Maquina de Bolsas,1697605201,2023-10-18 02:00:01 -03,164
Maquina de Bolsas,1697604900,2023-10-18 01:55:00 -03,147
Maquina de Bolsas,1697604601,2023-10-18 01:50:01 -03,159
Maquina de Bolsas,1697604300,2023-10-18 01:45:00 -03,153
Maquina de Bolsas,1697604000,2023-10-18 01:40:00 -03,164
Maquina de Bolsas,1697603700,2023-10-18 01:35:00 -03,155
Maquina de Bolsas,1697603400,2023-10-18 01:30:00 -03,153
Maquina de Bolsas,1697603101,2023-10-18 01:25:01 -03,168
Maquina de Bolsas,1697602800,2023-10-18 01:20:00 -03,151
Maquina de Bolsas,1697602500,2023-10-18 01:15:00 -03,168
Maquina de Bolsas,1697602201,2023-10-18 01:10:01 -03,174
Maquina de Bolsas,1697601900,2023-10-18 01:05:00 -03,158
Maquina de Bolsas,1697601601,2023-10-18 01:00:01 -03,155
Maquina de Bolsas,1697601300,2023-10-18 00:55:00 -03,184
Maquina de Bolsas,1697601001,2023-10-18 00:50:01 -03,163
Maquina de Bolsas,1697600700,2023-10-18 00:45:00 -03,156
Maquina de Bolsas,1697600401,2023-10-18 00:40:01 -03,158
Maquina de Bolsas,1697600100,2023-10-18 00:35:00 -03,174
Maquina de Bolsas,1697599801,2023-10-18 00:30:01 -03,176
Maquina de Bolsas,1697599500,2023-10-18 00:25:00 -03,164
Maquina de Bolsas,1697599200,2023-10-18 00:20:00 -03,181
Maquina de Bolsas,1697598901,2023-10-18 00:15:01 -03,151
Maquina de Bolsas,1697598600,2023-10-18 00:10:00 -03,154
Maquina de Bolsas,1697598301,2023-10-18 00:05:01 -03,178
Maquina de Bolsas,1697598001,2023-10-18 00:00:01 -03,159
Maquina de Bolsas,1697597700,2023-10-17 23:55:00 -03,165
Maquina de Bolsas,1697597400,2023-10-17 23:50:00 -03,191
Maquina de Bolsas,1697597101,2023-10-17 23:45:01 -03,166
Maquina de Bolsas,1697596800,2023-10-17 23:40:00 -03,157
Maquina de Bolsas,1697596501,2023-10-17 23:35:01 -03,164
Maquina de Bolsas,1697596200,2023-10-17 23:30:00 -03,136
Maquina de Bolsas,1697595901,2023-10-17 23:25:01 -03,169
Maquina de Bolsas,1697595600,2023-10-17 23:20:00 -03,139
Maquina de Bolsas,1697595301,2023-10-17 23:15:01 -03,121
Maquina de Bolsas,1697595000,2023-10-17 23:10:00 -03,167
Maquina de Bolsas,1697594701,2023-10-17 23:05:01 -03,148
Maquina de Bolsas,1697594400,2023-10-17 23:00:00 -03,154
Maquina de Bolsas,1697594101,2023-10-17 22:55:01 -03,162
Maquina de Bolsas,1697593800,2023-10-17 22:50:00 -03,168
Maquina de Bolsas,1697593501,2023-10-17 22:45:01 -03,172
Maquina de Bolsas,1697593200,2023-10-17 22:40:00 -03,177
Maquina de Bolsas,1697592900,2023-10-17 22:35:00 -03,194
Maquina de Bolsas,1697592600,2023-10-17 22:30:00 -03,173
Maquina de Bolsas,1697592300,2023-10-17 22:25:00 -03,161
Maquina de Bolsas,1697592001,2023-10-17 22:20:01 -03,157
Maquina de Bolsas,1697591700,2023-10-17 22:15:00 -03,172
Maquina de Bolsas,1697591400,2023-10-17 22:10:00 -03,155
Maquina de Bolsas,1697591101,2023-10-17 22:05:01 -03,155
Maquina de Bolsas,1697590800,2023-10-17 22:00:00 -03,186
Maquina de Bolsas,1697590501,2023-10-17 21:55:01 -03,162
Maquina de Bolsas,1697590200,2023-10-17 21:50:00 -03,191
Maquina de Bolsas,1697589901,2023-10-17 21:45:01 -03,174
Maquina de Bolsas,1697589600,2023-10-17 21:40:00 -03,166
Maquina de Bolsas,1697589301,2023-10-17 21:35:01 -03,163
Maquina de Bolsas,1697589000,2023-10-17 21:30:00 -03,176
Maquina de Bolsas,1697588701,2023-10-17 21:25:01 -03,131
Maquina de Bolsas,1697588400,2023-10-17 21:20:00 -03,145
Maquina de Bolsas,1697588100,2023-10-17 21:15:00 -03,155
Maquina de Bolsas,1697587801,2023-10-17 21:10:01 -03,172
Maquina de Bolsas,1697587500,2023-10-17 21:05:00 -03,164
Maquina de Bolsas,1697587200,2023-10-17 21:00:00 -03,141
