hora,Tension de Linea L1,Corriente L1,Potencia Activa L1,Potencia Reactiva L1,Factor de Potencia L1,Tension de Linea L2,Corriente L2,Potencia Activa L2,Potencia Reactiva L2,Factor de Potencia L2,Tension de Linea L3,Corriente L3,Potencia Activa L3,Potencia Reactiva L3,Factor de Potencia L3,Potencia Activa III,Potencia Inductiva III,Potencia Capacitiva III,Coseno Fi,Tension entre Lineas L1 y L2,Tension entre Lineas L2 y L3,Tension entre Lineas L3 y L1,Potencia Aparente III,Demanda Maxima,Corriente de las Tres Fases,Corriente de Neutro,Demanda Maxima A2,Demanda Maxima A3,Energia Activa,Energia Reactiva Inductiva,Energia Reactiva Capacitiva
Tue Mar 24 04:05:18 2020,7709.8200000000015,3307.5,21084.1,4294954721.95,42949672.1275,7691.4,4076.7,26961.4,4294953440.25,42949672.091500014,7645.139999999999,3987.6,23463.95,4294949833.5,42949672.186000004,71529.25,0.0,43971.65,42949672.11400001,13353.059999999998,13245.539999999999,13285.02,81801.4,0.0,3799.3,0.0,0.0,0.0,102252461.1,583539362.0,986268584.0
Tue Mar 24 04:06:18 2020,7711.26,3313.5,21263.05,4294954985.35,42949672.1255,7689.660000000001,4076.7,26459.4,4294952541.15,42949672.11050001,7644.480000000001,3856.2,22455.4,4294950330.25,42949672.193,70098.3,0.0,44071.05,42949672.117,13356.9,13241.76,13284.180000000002,76829.3,0.0,3747.7,0.0,0.0,0.0,102253641.2,583539362.0,986269318.0
Tue Mar 24 04:07:18 2020,7712.640000000002,3286.5,21114.05,4294955173.95,42949672.117,7691.639999999999,4080.6,26404.85,4294952396.9,42949672.11100001,7646.58,3822.0,22102.6,4294950220.9,42949672.198500015,69422.85,0.0,44105.95,42949672.1185,13357.2,13245.66,13287.48,76842.15,0.0,3730.0,0.0,0.0,0.0,102254805.1,583539362.0,986270052.65
Tue Mar 24 04:08:18 2020,7712.160000000001,3286.5,20964.9,4294954880.9,42949672.1285,7691.460000000001,4060.5,26236.0,4294952402.0,42949672.11350001,7646.579999999999,3843.0,22261.8,4294950161.3,42949672.198500015,69517.3,0.0,44548.25,42949672.1225,13357.439999999999,13245.720000000001,13285.74,76838.8,0.0,3733.2,0.0,0.0,0.0,102255960.95,583539362.0,986270791.8
Tue Mar 24 04:09:18 2020,7712.640000000001,3275.1,20845.7,4294954841.25,42949672.12100001,7692.299999999998,4092.9,26713.0,4294952715.0,42949672.10400001,7646.039999999999,3911.1,22619.2,4294949739.05,42949672.19950001,70148.1,0.0,44662.3,42949672.120500006,13359.779999999999,13245.900000000003,13286.88,77225.0,0.0,3753.9,0.0,0.0,0.0,102257123.7,583539362.0,986271534.6
Tue Mar 24 04:10:18 2020,7711.68,3271.2,20741.5,4294954756.8,42949672.1285,7692.24,4098.0,26956.4,4294953082.65,42949672.09700002,7645.4400000000005,3966.3,23051.65,4294949530.6,42949672.194000006,70794.15,0.0,44433.5,42949672.12,13359.240000000002,13244.939999999999,13288.140000000003,78755.3,0.0,3781.4,0.0,0.0,0.0,102258299.95,583539362.0,986272277.85
Tue Mar 24 04:11:20 2020,7711.485714285714,3280.0,20875.14285714286,4294954833.571429,42949672.12238096,7694.228571428573,4122.857142857143,27087.571428571428,4294952855.7619047,42949672.10000001,7645.942857142855,3965.4285714285716,23009.0,4294949496.428571,42949672.198095255,70948.0,0.0,44711.80952380953,42949672.12,13361.142857142857,13247.085714285717,13287.257142857141,77938.66666666667,0.0,3788.3809523809523,0.0,0.0,0.0,102259506.57142857,583539362.0,986273038.4285715
Tue Mar 24 04:12:20 2020,7709.1,3258.6,20468.2,4294954513.2,42949672.14049999,7693.740000000001,4065.9,26628.45,4294953008.0,42949672.10500001,7645.859999999999,3965.7,22991.85,4294949460.95,42949672.198000014,70078.35,0.0,44890.75,42949672.122999996,13358.16,13247.16,13284.060000000001,75675.55,0.0,3758.2,0.0,0.0,0.0,102260700.05,583539362.0,986273800.8
Tue Mar 24 04:13:20 2020,7710.12,3245.4,20279.4,4294954404.2,42949672.14549999,7692.720000000001,4037.1,26558.9,4294953395.5,42949672.09750001,7645.860000000001,3996.6,23339.75,4294949456.05,42949672.19300002,70187.95,0.0,44552.7,42949672.119,13357.38,13249.02,13284.780000000002,79132.1,0.0,3755.2,0.0,0.0,0.0,102261862.85,583539362.0,986274542.0
Tue Mar 24 04:14:20 2020,7708.799999999998,3244.5,19991.3,4294954115.8,42949672.154499985,7691.040000000001,3982.8,26255.75,4294953787.9,42949672.09600001,7644.359999999999,4004.7,23399.25,4294949441.05,42949672.193,69656.2,0.0,44632.6,42949672.12,13355.4,13243.8,13280.939999999999,75643.7,0.0,3745.3,0.0,0.0,0.0,102263029.0,583539362.0,986275280.45
Tue Mar 24 04:15:20 2020,7704.480000000001,3256.8,20249.5,4294954284.75,42949672.148499995,7687.740000000001,4013.4,26047.05,4294952953.35,42949672.11,7640.88,3928.2,22733.7,4294949575.15,42949672.199000016,69020.45,0.0,45034.85,42949672.126499996,13347.24,13237.619999999999,13273.919999999998,74465.2,0.0,3728.0,0.0,0.0,0.0,102264183.4,583539362.0,986276026.8
Tue Mar 24 04:16:20 2020,7701.959999999999,3281.1,20656.95,4294954463.75,42949672.135,7686.720000000001,4032.3,25982.55,4294952476.5,42949672.11500001,7638.419999999998,3877.5,22370.9,4294949853.35,42949672.19750001,69045.2,0.0,45164.05,42949672.129999995,13346.580000000002,13236.179999999998,13273.140000000003,75622.95,0.0,3729.4,0.0,0.0,0.0,102265331.5,583539362.0,986276779.7
Tue Mar 24 04:17:19 2020,7705.92,3316.2,20821.05,4294954245.0,42949672.137499996,7690.8,3998.7,25808.75,4294952734.8,42949672.10800001,7642.259999999999,3899.7,22763.4,4294950066.8,42949672.192,69462.75,0.0,44796.8,42949672.1245,13350.66,13240.2,13275.539999999999,74107.85,0.0,3739.2,0.0,0.0,0.0,102266466.1,583539362.0,986277528.15
Tue Mar 24 04:18:19 2020,7707.24,3377.7,21352.55,4294954125.75,42949672.126,7691.280000000002,4054.2,26559.0,4294953137.3,42949672.10400002,7643.94,4005.0,23776.95,4294949967.6,42949672.179499984,71618.85,0.0,44647.5,42949672.1155,13353.12,13243.86,13280.1,82168.25,0.0,3815.9,0.0,0.0,0.0,102267647.4,583539362.0,986278274.15
Tue Mar 24 04:19:19 2020,7733.880000000002,3420.6,22177.2,4294954915.65,42949672.11500001,7717.800000000001,4066.2,27160.0,4294953971.95,42949672.08650001,7669.74,4045.8,24646.35,4294950807.15,42949672.16099999,73968.5,0.0,42168.4,42949672.09650002,13399.559999999998,13290.24,13325.88,84373.5,0.0,3837.6,0.0,0.0,0.0,102268856.85,583539362.0,986278995.85
Tue Mar 24 04:20:19 2020,7767.780000000001,3327.9,21829.4,4294956003.6,42949672.103500016,7751.219999999998,4038.0,27338.8,4294954895.85,42949672.080500014,7702.38,3975.9,24179.2,4294951110.2,42949672.16399999,73456.7,0.0,39908.1,42949672.08750002,13457.399999999998,13347.659999999998,13382.820000000002,80114.15,0.0,3783.4,0.0,0.0,0.0,102270086.45,583539362.0,986279668.85
Tue Mar 24 04:21:19 2020,7769.999999999998,3341.7,21988.5,4294956043.45,42949672.10800001,7751.76,4045.5,27343.85,4294954756.75,42949672.07850002,7703.160000000001,3963.9,24099.65,4294951164.95,42949672.16449998,73392.35,0.0,39942.6,42949672.08950002,13458.720000000001,13347.419999999998,13387.26,78574.65,0.0,3781.8,0.0,0.0,0.0,102271312.5,583539362.0,986280332.75
Tue Mar 24 04:22:19 2020,7770.240000000001,3316.8,21789.6,4294956053.35,42949672.10800001,7749.4800000000005,4087.2,27552.5,4294954334.45,42949672.08750002,7701.660000000002,3942.0,23608.0,4294950737.75,42949672.17449999,72840.7,0.0,40801.9,42949672.09350002,13456.019999999999,13341.84,13382.64,77400.4,0.0,3784.8,0.0,0.0,0.0,102272527.75,583539362.0,986281006.55
Tue Mar 24 04:23:19 2020,7766.339999999999,3243.9,21099.1,4294955944.2,42949672.11550001,7749.539999999999,4044.3,27289.3,4294954662.35,42949672.08100001,7701.18,3958.5,23583.15,4294950394.9,42949672.17849999,71906.9,0.0,40886.65,42949672.09450002,13454.279999999999,13343.160000000003,13381.919999999998,77012.1,0.0,3743.2,0.0,0.0,0.0,102273737.5,583539362.0,986281685.45
Tue Mar 24 04:24:19 2020,7767.3,3276.3,21605.7,4294956316.65,42949672.10500001,7748.88,4080.6,27209.8,4294953837.6,42949672.09150002,7701.42,3858.6,22828.05,4294950797.25,42949672.184,71713.0,0.0,40946.25,42949672.095500015,13455.719999999998,13341.899999999998,13382.399999999998,77404.85,0.0,3737.8,0.0,0.0,0.0,102274934.95,583539362.0,986282368.6
Tue Mar 24 04:25:19 2020,7768.259999999999,3317.4,21879.05,4294956192.6,42949672.10250001,7750.319999999998,4048.2,26911.7,4294953842.7,42949672.095500015,7702.8,3838.8,22917.4,4294951135.05,42949672.18249998,71738.1,0.0,40807.25,42949672.09300002,13456.26,13347.059999999998,13382.939999999999,76646.3,0.0,3729.6,0.0,0.0,0.0,102276127.25,583539362.0,986283048.05
Tue Mar 24 04:26:18 2020,7772.160000000001,3353.1,22316.2,4294956450.8,42949672.09350002,7756.860000000001,4066.5,26971.2,4294953455.1,42949672.10000001,7707.18,3805.8,22793.1,4294951453.0,42949672.174499996,72199.8,0.0,40603.6,42949672.09200002,13468.2,13356.779999999999,13392.360000000004,77472.35,0.0,3744.8,0.0,0.0,0.0,102277316.45,583539362.0,986283723.25
Tue Mar 24 04:27:20 2020,7779.4857142857145,3313.714285714286,22020.14285714286,4294956531.904762,42949672.09904763,7764.342857142857,4088.5714285714284,27404.47619047619,4294954048.0,42949672.09285716,7715.142857142857,3856.8571428571427,23070.619047619046,4294951166.571429,42949672.179999985,72438.47619047618,0.0,40183.95238095238,42949672.09000002,13479.257142857141,13368.800000000003,13403.371428571429,77541.76190476191,0.0,3750.4761904761904,0.0,0.0,0.0,102278524.33333333,583539362.0,986284405.2380953
Tue Mar 24 04:28:20 2020,7786.799999999998,3260.1,21536.3,4294956580.05,42949672.106000006,7769.940000000002,4069.8,27731.4,4294954990.3,42949672.07850001,7720.92,3940.2,23722.3,4294950911.6,42949672.17549999,72980.0,0.0,39356.55,42949672.08750002,13489.800000000003,13376.580000000002,13415.460000000001,76819.25,0.0,3758.3,0.0,0.0,0.0,102279777.45,583539362.0,986285081.25
Tue Mar 24 04:29:18 2020,7790.084210526316,3206.5263157894738,20923.21052631579,4294956308.7894735,42949672.11105264,7773.915789473683,3987.157894736842,27046.894736842107,4294955215.7894735,42949672.07894737,7726.294736842104,3925.8947368421054,23668.63157894737,4294951069.0,42949672.17736842,71675.42105263157,0.0,39304.78947368421,42949672.0894737,13498.04210526316,13387.200000000003,13424.526315789473,71925.78947368421,0.0,3708.7368421052633,0.0,0.0,0.0,102280944.26315789,583539362.0,986285719.3157895
Tue Mar 24 04:30:18 2020,7794.479999999999,3228.9,21228.2,4294956495.5,42949672.11000001,7775.759999999999,4011.6,27294.15,4294955193.95,42949672.08200001,7728.719999999999,3928.2,23737.1,4294951135.05,42949672.17549999,72259.5,0.0,39138.25,42949672.08650001,13499.940000000002,13390.5,13428.24,75333.8,0.0,3720.0,0.0,0.0,0.0,102282126.3,583539362.0,986286358.1
