DISPOSITIVO,timestamp_UTC,timestamp_LOCAL,P
Maquina de Bolsas,1697008200,2023-10-11 04:10:00 -03,238
Maquina de Bolsas,1697007901,2023-10-11 04:05:01 -03,207
Maquina de Bolsas,1697007600,2023-10-11 04:00:00 -03,209
Maquina de Bolsas,1697007300,2023-10-11 03:55:00 -03,218
Maquina de Bolsas,1697007000,2023-10-11 03:50:00 -03,228
Maquina de Bolsas,1697006700,2023-10-11 03:45:00 -03,215
Maquina de Bolsas,1697006400,2023-10-11 03:40:00 -03,197
Maquina de Bolsas,1697006100,2023-10-11 03:35:00 -03,202
Maquina de Bolsas,1697005800,2023-10-11 03:30:00 -03,207
Maquina de Bolsas,1697005501,2023-10-11 03:25:01 -03,192
Maquina de Bolsas,1697005200,2023-10-11 03:20:00 -03,205
Maquina de Bolsas,1697004900,2023-10-11 03:15:00 -03,223
Maquina de Bolsas,1697004600,2023-10-11 03:10:00 -03,202
Maquina de Bolsas,1697004300,2023-10-11 03:05:00 -03,208
Maquina de Bolsas,1697004000,2023-10-11 03:00:00 -03,202
Maquina de Bolsas,1697003700,2023-10-11 02:55:00 -03,208
Maquina de Bolsas,1697003400,2023-10-11 02:50:00 -03,224
Maquina de Bolsas,1697003100,2023-10-11 02:45:00 -03,214
Maquina de Bolsas,1697002801,2023-10-11 02:40:01 -03,241
Maquina de Bolsas,1697002500,2023-10-11 02:35:00 -03,226
Maquina de Bolsas,1697002200,2023-10-11 02:30:00 -03,215
Maquina de Bolsas,1697001900,2023-10-11 02:25:00 -03,189
Maquina de Bolsas,1697001600,2023-10-11 02:20:00 -03,216
Maquina de Bolsas,1697001301,2023-10-11 02:15:01 -03,210
Maquina de Bolsas,1697001000,2023-10-11 02:10:00 -03,217
Maquina de Bolsas,1697000700,2023-10-11 02:05:00 -03,202
Maquina de Bolsas,1697000401,2023-10-11 02:00:01 -03,218
Maquina de Bolsas,1697000100,2023-10-11 01:55:00 -03,201
Maquina de Bolsas,1696999801,2023-10-11 01:50:01 -03,215
Maquina de Bolsas,1696999500,2023-10-11 01:45:00 -03,214
Maquina de Bolsas,1696999201,2023-10-11 01:40:01 -03,214
Maquina de Bolsas,1696998900,2023-10-11 01:35:00 -03,205
Maquina de Bolsas,1696998601,2023-10-11 01:30:01 -03,206
Maquina de Bolsas,1696998300,2023-10-11 01:25:00 -03,207
Maquina de Bolsas,1696998001,2023-10-11 01:20:01 -03,196
Maquina de Bolsas,1696997700,2023-10-11 01:15:00 -03,218
Maquina de Bolsas,1696997400,2023-10-11 01:10:00 -03,216
Maquina de Bolsas,1696997101,2023-10-11 01:05:01 -03,182
Maquina de Bolsas,1696996801,2023-10-11 01:00:01 -03,221
Maquina de Bolsas,1696996500,2023-10-11 00:55:00 -03,201
Maquina de Bolsas,1696996201,2023-10-11 00:50:01 -03,220
Maquina de Bolsas,1696995900,2023-10-11 00:45:00 -03,216
Maquina de Bolsas,1696995601,2023-10-11 00:40:01 -03,207
Maquina de Bolsas,1696995300,2023-10-11 00:35:00 -03,195
Maquina de Bolsas,1696995001,2023-10-11 00:30:01 -03,203
Maquina de Bolsas,1696994700,2023-10-11 00:25:00 -03,207
Maquina de Bolsas,1696994401,2023-10-11 00:20:01 -03,196
Maquina de Bolsas,1696994100,2023-10-11 00:15:00 -03,194
Maquina de Bolsas,1696993801,2023-10-11 00:10:01 -03,208
Maquina de Bolsas,1696993500,2023-10-11 00:05:00 -03,225
Maquina de Bolsas,1696993201,2023-10-11 00:00:01 -03,201
Maquina de Bolsas,1696992900,2023-10-10 23:55:00 -03,205
Maquina de Bolsas,1696992601,2023-10-10 23:50:01 -03,226
Maquina de Bolsas,1696992300,2023-10-10 23:45:00 -03,212
Maquina de Bolsas,1696992001,2023-10-10 23:40:01 -03,201
Maquina de Bolsas,1696991700,2023-10-10 23:35:00 -03,212
Maquina de Bolsas,1696991401,2023-10-10 23:30:01 -03,196
Maquina de Bolsas,1696991100,2023-10-10 23:25:00 -03,219
Maquina de Bolsas,1696990800,2023-10-10 23:20:00 -03,193
Maquina de Bolsas,1696990501,2023-10-10 23:15:01 -03,207
Maquina de Bolsas,1696990200,2023-10-10 23:10:00 -03,213
Maquina de Bolsas,1696989901,2023-10-10 23:05:01 -03,206
Maquina de Bolsas,1696989600,2023-10-10 23:00:00 -03,211
Maquina de Bolsas,1696989301,2023-10-10 22:55:01 -03,197
Maquina de Bolsas,1696989000,2023-10-10 22:50:00 -03,208
Maquina de Bolsas,1696988700,2023-10-10 22:45:00 -03,192
Maquina de Bolsas,1696988401,2023-10-10 22:40:01 -03,194
Maquina de Bolsas,1696988100,2023-10-10 22:35:00 -03,201
Maquina de Bolsas,1696987800,2023-10-10 22:30:00 -03,185
Maquina de Bolsas,1696987501,2023-10-10 22:25:01 -03,208
Maquina de Bolsas,1696987200,2023-10-10 22:20:00 -03,207
Maquina de Bolsas,1696986900,2023-10-10 22:15:00 -03,201
Maquina de Bolsas,1696986601,2023-10-10 22:10:01 -03,208
Maquina de Bolsas,1696986300,2023-10-10 22:05:00 -03,207
Maquina de Bolsas,1696986001,2023-10-10 22:00:01 -03,207
Maquina de Bolsas,1696985700,2023-10-10 21:55:00 -03,186
Maquina de Bolsas,1696985400,2023-10-10 21:50:00 -03,215
Maquina de Bolsas,1696985100,2023-10-10 21:45:00 -03,203
Maquina de Bolsas,1696984800,2023-10-10 21:40:00 -03,198
Maquina de Bolsas,1696984501,2023-10-10 21:35:01 -03,221
Maquina de Bolsas,1696984201,2023-10-10 21:30:01 -03,214
Maquina de Bolsas,1696983900,2023-10-10 21:25:00 -03,227
Maquina de Bolsas,1696983601,2023-10-10 21:20:01 -03,221
Maquina de Bolsas,1696983300,2023-10-10 21:15:00 -03,225
Maquina de Bolsas,1696983000,2023-10-10 21:10:00 -03,218
Maquina de Bolsas,1696982700,2023-10-10 21:05:00 -03,215
Maquina de Bolsas,1696982400,2023-10-10 21:00:00 -03,182
Maquina de Bolsas,1696982100,2023-10-10 20:55:00 -03,217
Maquina de Bolsas,1696981801,2023-10-10 20:50:01 -03,203
Maquina de Bolsas,1696981500,2023-10-10 20:45:00 -03,203
Maquina de Bolsas,1696981200,2023-10-10 20:40:00 -03,196
Maquina de Bolsas,1696980901,2023-10-10 20:35:01 -03,233
Maquina de Bolsas,1696980600,2023-10-10 20:30:00 -03,194
Maquina de Bolsas,1696980301,2023-10-10 20:25:01 -03,195
Maquina de Bolsas,1696980000,2023-10-10 20:20:00 -03,198
Maquina de Bolsas,1696979701,2023-10-10 20:15:01 -03,191
Maquina de Bolsas,1696979401,2023-10-10 20:10:01 -03,179
Maquina de Bolsas,1696979100,2023-10-10 20:05:00 -03,206
Maquina de Bolsas,1696978801,2023-10-10 20:00:01 -03,194
Maquina de Bolsas,1696978500,2023-10-10 19:55:00 -03,198
Maquina de Bolsas,1696978200,2023-10-10 19:50:00 -03,192
Maquina de Bolsas,1696977901,2023-10-10 19:45:01 -03,182
Maquina de Bolsas,1696977600,2023-10-10 19:40:00 -03,207
Maquina de Bolsas,1696977301,2023-10-10 19:35:01 -03,199
Maquina de Bolsas,1696977000,2023-10-10 19:30:00 -03,210
Maquina de Bolsas,1696976700,2023-10-10 19:25:00 -03,206
Maquina de Bolsas,1696976401,2023-10-10 19:20:01 -03,206
Maquina de Bolsas,1696976100,2023-10-10 19:15:00 -03,218
Maquina de Bolsas,1696975800,2023-10-10 19:10:00 -03,191
Maquina de Bolsas,1696975500,2023-10-10 19:05:00 -03,212
Maquina de Bolsas,1696975201,2023-10-10 19:00:01 -03,204
Maquina de Bolsas,1696974900,2023-10-10 18:55:00 -03,205
Maquina de Bolsas,1696974600,2023-10-10 18:50:00 -03,203
Maquina de Bolsas,1696974300,2023-10-10 18:45:00 -03,206
Maquina de Bolsas,1696974000,2023-10-10 18:40:00 -03,193
Maquina de Bolsas,1696973700,2023-10-10 18:35:00 -03,226
Maquina de Bolsas,1696973401,2023-10-10 18:30:01 -03,213
Maquina de Bolsas,1696973100,2023-10-10 18:25:00 -03,216
Maquina de Bolsas,1696972801,2023-10-10 18:20:01 -03,145
Maquina de Bolsas,1696972500,2023-10-10 18:15:00 -03,212
Maquina de Bolsas,1696972201,2023-10-10 18:10:01 -03,190
Maquina de Bolsas,1696971900,2023-10-10 18:05:00 -03,222
Maquina de Bolsas,1696971601,2023-10-10 18:00:01 -03,210
Maquina de Bolsas,1696971300,2023-10-10 17:55:00 -03,209
Maquina de Bolsas,1696971001,2023-10-10 17:50:01 -03,211
Maquina de Bolsas,1696970700,2023-10-10 17:45:00 -03,212
Maquina de Bolsas,1696970401,2023-10-10 17:40:01 -03,216
Maquina de Bolsas,1696970100,2023-10-10 17:35:00 -03,214
Maquina de Bolsas,1696969800,2023-10-10 17:30:00 -03,195
Maquina de Bolsas,1696969500,2023-10-10 17:25:00 -03,199
Maquina de Bolsas,1696969200,2023-10-10 17:20:00 -03,214
Maquina de Bolsas,1696968901,2023-10-10 17:15:01 -03,212
Maquina de Bolsas,1696968600,2023-10-10 17:10:00 -03,195
Maquina de Bolsas,1696968301,2023-10-10 17:05:01 -03,225
Maquina de Bolsas,1696968000,2023-10-10 17:00:00 -03,191
Maquina de Bolsas,1696967701,2023-10-10 16:55:01 -03,203
Maquina de Bolsas,1696967400,2023-10-10 16:50:00 -03,202
Maquina de Bolsas,1696967101,2023-10-10 16:45:01 -03,210
Maquina de Bolsas,1696966800,2023-10-10 16:40:00 -03,233
Maquina de Bolsas,1696966500,2023-10-10 16:35:00 -03,216
Maquina de Bolsas,1696966200,2023-10-10 16:30:00 -03,227
Maquina de Bolsas,1696965900,2023-10-10 16:25:00 -03,207
Maquina de Bolsas,1696965601,2023-10-10 16:20:01 -03,217
Maquina de Bolsas,1696965300,2023-10-10 16:15:00 -03,189
Maquina de Bolsas,1696965001,2023-10-10 16:10:01 -03,210
Maquina de Bolsas,1696964700,2023-10-10 16:05:00 -03,180
Maquina de Bolsas,1696964401,2023-10-10 16:00:01 -03,225
Maquina de Bolsas,1696964100,2023-10-10 15:55:00 -03,210
Maquina de Bolsas,1696963801,2023-10-10 15:50:01 -03,219
Maquina de Bolsas,1696963500,2023-10-10 15:45:00 -03,199
Maquina de Bolsas,1696963201,2023-10-10 15:40:01 -03,205
Maquina de Bolsas,1696962900,2023-10-10 15:35:00 -03,187
Maquina de Bolsas,1696962601,2023-10-10 15:30:01 -03,224
Maquina de Bolsas,1696962300,2023-10-10 15:25:00 -03,203
Maquina de Bolsas,1696962000,2023-10-10 15:20:00 -03,197
Maquina de Bolsas,1696961700,2023-10-10 15:15:00 -03,210
Maquina de Bolsas,1696961400,2023-10-10 15:10:00 -03,207
Maquina de Bolsas,1696961101,2023-10-10 15:05:01 -03,200
Maquina de Bolsas,1696960800,2023-10-10 15:00:00 -03,193
Maquina de Bolsas,1696960501,2023-10-10 14:55:01 -03,187
Maquina de Bolsas,1696960200,2023-10-10 14:50:00 -03,190
Maquina de Bolsas,1696959901,2023-10-10 14:45:01 -03,193
Maquina de Bolsas,1696959601,2023-10-10 14:40:01 -03,201
Maquina de Bolsas,1696959300,2023-10-10 14:35:00 -03,215
Maquina de Bolsas,1696959001,2023-10-10 14:30:01 -03,197
Maquina de Bolsas,1696958700,2023-10-10 14:25:00 -03,210
Maquina de Bolsas,1696958400,2023-10-10 14:20:00 -03,230
Maquina de Bolsas,1696958100,2023-10-10 14:15:00 -03,212
Maquina de Bolsas,1696957800,2023-10-10 14:10:00 -03,186
Maquina de Bolsas,1696957501,2023-10-10 14:05:01 -03,220
Maquina de Bolsas,1696957200,2023-10-10 14:00:00 -03,203
Maquina de Bolsas,1696956900,2023-10-10 13:55:00 -03,216
Maquina de Bolsas,1696956601,2023-10-10 13:50:01 -03,209
Maquina de Bolsas,1696956300,2023-10-10 13:45:00 -03,226
Maquina de Bolsas,1696956001,2023-10-10 13:40:01 -03,206
Maquina de Bolsas,1696955700,2023-10-10 13:35:00 -03,200
Maquina de Bolsas,1696955401,2023-10-10 13:30:01 -03,208
Maquina de Bolsas,1696955101,2023-10-10 13:25:01 -03,204
Maquina de Bolsas,1696954800,2023-10-10 13:20:00 -03,204
Maquina de Bolsas,1696954501,2023-10-10 13:15:01 -03,189
Maquina de Bolsas,1696954200,2023-10-10 13:10:00 -03,213
Maquina de Bolsas,1696953901,2023-10-10 13:05:01 -03,191
Maquina de Bolsas,1696953600,2023-10-10 13:00:00 -03,192
Maquina de Bolsas,1696953301,2023-10-10 12:55:01 -03,196
Maquina de Bolsas,1696953000,2023-10-10 12:50:00 -03,199
Maquina de Bolsas,1696952701,2023-10-10 12:45:01 -03,187
Maquina de Bolsas,1696952400,2023-10-10 12:40:00 -03,213
Maquina de Bolsas,1696952101,2023-10-10 12:35:01 -03,198
Maquina de Bolsas,1696951800,2023-10-10 12:30:00 -03,201
Maquina de Bolsas,1696951501,2023-10-10 12:25:01 -03,210
Maquina de Bolsas,1696951200,2023-10-10 12:20:00 -03,207
Maquina de Bolsas,1696950901,2023-10-10 12:15:01 -03,220
Maquina de Bolsas,1696950600,2023-10-10 12:10:00 -03,206
Maquina de Bolsas,1696950301,2023-10-10 12:05:01 -03,189
Maquina de Bolsas,1696950000,2023-10-10 12:00:00 -03,216
Maquina de Bolsas,1696949701,2023-10-10 11:55:01 -03,203
Maquina de Bolsas,1696949400,2023-10-10 11:50:00 -03,221
Maquina de Bolsas,1696949101,2023-10-10 11:45:01 -03,237
Maquina de Bolsas,1696948800,2023-10-10 11:40:00 -03,200
Maquina de Bolsas,1696948501,2023-10-10 11:35:01 -03,211
Maquina de Bolsas,1696948200,2023-10-10 11:30:00 -03,202
Maquina de Bolsas,1696947900,2023-10-10 11:25:00 -03,196
Maquina de Bolsas,1696947600,2023-10-10 11:20:00 -03,211
Maquina de Bolsas,1696947301,2023-10-10 11:15:01 -03,203
Maquina de Bolsas,1696947000,2023-10-10 11:10:00 -03,224
Maquina de Bolsas,1696946701,2023-10-10 11:05:01 -03,195
Maquina de Bolsas,1696946400,2023-10-10 11:00:00 -03,207
Maquina de Bolsas,1696946101,2023-10-10 10:55:01 -03,202
Maquina de Bolsas,1696945800,2023-10-10 10:50:00 -03,205
Maquina de Bolsas,1696945501,2023-10-10 10:45:01 -03,253
Maquina de Bolsas,1696945200,2023-10-10 10:40:00 -03,193
Maquina de Bolsas,1696944900,2023-10-10 10:35:00 -03,199
Maquina de Bolsas,1696944601,2023-10-10 10:30:01 -03,206
Maquina de Bolsas,1696944300,2023-10-10 10:25:00 -03,200
Maquina de Bolsas,1696944001,2023-10-10 10:20:01 -03,196
Maquina de Bolsas,1696943700,2023-10-10 10:15:00 -03,183
Maquina de Bolsas,1696943401,2023-10-10 10:10:01 -03,193
Maquina de Bolsas,1696943100,2023-10-10 10:05:00 -03,213
Maquina de Bolsas,1696942801,2023-10-10 10:00:01 -03,207
Maquina de Bolsas,1696942500,2023-10-10 09:55:00 -03,215
Maquina de Bolsas,1696942201,2023-10-10 09:50:01 -03,189
Maquina de Bolsas,1696941900,2023-10-10 09:45:00 -03,220
Maquina de Bolsas,1696941600,2023-10-10 09:40:00 -03,218
Maquina de Bolsas,1696941301,2023-10-10 09:35:01 -03,198
Maquina de Bolsas,1696941000,2023-10-10 09:30:00 -03,194
Maquina de Bolsas,1696940701,2023-10-10 09:25:01 -03,216
Maquina de Bolsas,1696940400,2023-10-10 09:20:00 -03,199
Maquina de Bolsas,1696940100,2023-10-10 09:15:00 -03,171
Maquina de Bolsas,1696939800,2023-10-10 09:10:00 -03,216
Maquina de Bolsas,1696939500,2023-10-10 09:05:00 -03,199
Maquina de Bolsas,1696939200,2023-10-10 09:00:00 -03,195
Maquina de Bolsas,1696938900,2023-10-10 08:55:00 -03,211
Maquina de Bolsas,1696938600,2023-10-10 08:50:00 -03,193
Maquina de Bolsas,1696938301,2023-10-10 08:45:01 -03,200
Maquina de Bolsas,1696938000,2023-10-10 08:40:00 -03,227
Maquina de Bolsas,1696937701,2023-10-10 08:35:01 -03,203
Maquina de Bolsas,1696937400,2023-10-10 08:30:00 -03,221
Maquina de Bolsas,1696937101,2023-10-10 08:25:01 -03,199
Maquina de Bolsas,1696936800,2023-10-10 08:20:00 -03,213
Maquina de Bolsas,1696936501,2023-10-10 08:15:01 -03,209
Maquina de Bolsas,1696936200,2023-10-10 08:10:00 -03,184
Maquina de Bolsas,1696935900,2023-10-10 08:05:00 -03,217
Maquina de Bolsas,1696935600,2023-10-10 08:00:00 -03,231
Maquina de Bolsas,1696935300,2023-10-10 07:55:00 -03,209
Maquina de Bolsas,1696935000,2023-10-10 07:50:00 -03,219
Maquina de Bolsas,1696934700,2023-10-10 07:45:00 -03,212
Maquina de Bolsas,1696934401,2023-10-10 07:40:01 -03,208
Maquina de Bolsas,1696934101,2023-10-10 07:35:01 -03,211
Maquina de Bolsas,1696933800,2023-10-10 07:30:00 -03,209
Maquina de Bolsas,1696933501,2023-10-10 07:25:01 -03,203
Maquina de Bolsas,1696933200,2023-10-10 07:20:00 -03,203
Maquina de Bolsas,1696932900,2023-10-10 07:15:00 -03,218
Maquina de Bolsas,1696932600,2023-10-10 07:10:00 -03,217
Maquina de Bolsas,1696932300,2023-10-10 07:05:00 -03,206
Maquina de Bolsas,1696932001,2023-10-10 07:00:01 -03,214
Maquina de Bolsas,1696931700,2023-10-10 06:55:00 -03,211
Maquina de Bolsas,1696931400,2023-10-10 06:50:00 -03,209
Maquina de Bolsas,1696931100,2023-10-10 06:45:00 -03,212
Maquina de Bolsas,1696930801,2023-10-10 06:40:01 -03,202
Maquina de Bolsas,1696930500,2023-10-10 06:35:00 -03,192
Maquina de Bolsas,1696930201,2023-10-10 06:30:01 -03,203
Maquina de Bolsas,1696929900,2023-10-10 06:25:00 -03,225
Maquina de Bolsas,1696929600,2023-10-10 06:20:00 -03,222
Maquina de Bolsas,1696929300,2023-10-10 06:15:00 -03,190
Maquina de Bolsas,1696929000,2023-10-10 06:10:00 -03,193
Maquina de Bolsas,1696928701,2023-10-10 06:05:01 -03,203
Maquina de Bolsas,1696928400,2023-10-10 06:00:00 -03,192
Maquina de Bolsas,1696928101,2023-10-10 05:55:01 -03,237
Maquina de Bolsas,1696927800,2023-10-10 05:50:00 -03,190
Maquina de Bolsas,1696927501,2023-10-10 05:45:01 -03,205
Maquina de Bolsas,1696927200,2023-10-10 05:40:00 -03,238
Maquina de Bolsas,1696926901,2023-10-10 05:35:01 -03,222
Maquina de Bolsas,1696926600,2023-10-10 05:30:00 -03,212
Maquina de Bolsas,1696926301,2023-10-10 05:25:01 -03,235
Maquina de Bolsas,1696926000,2023-10-10 05:20:00 -03,208
Maquina de Bolsas,1696925701,2023-10-10 05:15:01 -03,211
Maquina de Bolsas,1696925400,2023-10-10 05:10:00 -03,204
Maquina de Bolsas,1696925101,2023-10-10 05:05:01 -03,205
Maquina de Bolsas,1696924800,2023-10-10 05:00:00 -03,229
Maquina de Bolsas,1696924501,2023-10-10 04:55:01 -03,205
Maquina de Bolsas,1696924200,2023-10-10 04:50:00 -03,205
Maquina de Bolsas,1696923901,2023-10-10 04:45:01 -03,199
Maquina de Bolsas,1696923600,2023-10-10 04:40:00 -03,224
Maquina de Bolsas,1696923301,2023-10-10 04:35:01 -03,211
Maquina de Bolsas,1696923000,2023-10-10 04:30:00 -03,213
Maquina de Bolsas,1696922700,2023-10-10 04:25:00 -03,212
Maquina de Bolsas,1696922400,2023-10-10 04:20:00 -03,214
Maquina de Bolsas,1696922101,2023-10-10 04:15:01 -03,225
Maquina de Bolsas,1696921800,2023-10-10 04:10:00 -03,179
Maquina de Bolsas,1696921501,2023-10-10 04:05:01 -03,209
Maquina de Bolsas,1696921200,2023-10-10 04:00:00 -03,204
Maquina de Bolsas,1696920900,2023-10-10 03:55:00 -03,213
Maquina de Bolsas,1696920601,2023-10-10 03:50:01 -03,212
Maquina de Bolsas,1696920300,2023-10-10 03:45:00 -03,219
Maquina de Bolsas,1696920001,2023-10-10 03:40:01 -03,216
Maquina de Bolsas,1696919700,2023-10-10 03:35:00 -03,192
Maquina de Bolsas,1696919401,2023-10-10 03:30:01 -03,226
Maquina de Bolsas,1696919100,2023-10-10 03:25:00 -03,198
Maquina de Bolsas,1696918801,2023-10-10 03:20:01 -03,205
Maquina de Bolsas,1696918500,2023-10-10 03:15:00 -03,223
Maquina de Bolsas,1696918201,2023-10-10 03:10:01 -03,189
Maquina de Bolsas,1696917900,2023-10-10 03:05:00 -03,200
Maquina de Bolsas,1696917600,2023-10-10 03:00:00 -03,217
Maquina de Bolsas,1696917300,2023-10-10 02:55:00 -03,208
Maquina de Bolsas,1696917000,2023-10-10 02:50:00 -03,195
Maquina de Bolsas,1696916701,2023-10-10 02:45:01 -03,229
Maquina de Bolsas,1696916400,2023-10-10 02:40:00 -03,213
Maquina de Bolsas,1696916100,2023-10-10 02:35:00 -03,205
Maquina de Bolsas,1696915801,2023-10-10 02:30:01 -03,211
Maquina de Bolsas,1696915500,2023-10-10 02:25:00 -03,204
Maquina de Bolsas,1696915201,2023-10-10 02:20:01 -03,210
Maquina de Bolsas,1696914900,2023-10-10 02:15:00 -03,189
Maquina de Bolsas,1696914600,2023-10-10 02:10:00 -03,208
Maquina de Bolsas,1696914300,2023-10-10 02:05:00 -03,230
Maquina de Bolsas,1696914000,2023-10-10 02:00:00 -03,198
Maquina de Bolsas,1696913700,2023-10-10 01:55:00 -03,226
