legajo;1/11/2023;2/11/2023;3/11/2023;4/11/2023;5/11/2023;6/11/2023;7/11/2023;8/11/2023;9/11/2023;10/11/2023;11/11/2023;12/11/2023;13/11/2023;14/11/2023;15/11/2023;16/11/2023;17/11/2023;18/11/2023;19/11/2023;20/11/2023
1461;8.70;7.00;7.80;0.00;0.00;6.30;3.80;8.00;5.80;7.00;0.00;0.00;6.00;8.80;7.50;7.80;2.00;0.00;0.00;0.00
1466;0.00;8.00;7.00;0.00;12.00;5.80;5.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.70;7.10;0.00;0.00;0.00;0.00
1469;8.00;7.00;7.00;0.00;10.40;7.00;7.00;6.80;0.00;0.00;0.00;0.00;0.00;8.40;9.00;8.00;0.00;0.00;0.00;0.00
1471;8.00;10.00;8.00;0.00;12.00;0.00;9.00;0.00;8.00;7.00;0.00;0.00;0.00;7.50;8.00;6.00;0.00;0.00;0.00;0.00
1474;10.00;7.00;0.00;0.00;0.00;0.00;9.60;9.40;9.50;0.00;0.00;0.00;0.00;8.50;9.50;8.50;0.00;0.00;0.00;0.00
1478;9.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00;8.00;8.50;0.00;0.00;0.00;0.00
1481;5.70;7.00;0.00;0.00;0.00;0.00;8.00;8.00;8.00;8.00;0.00;0.00;0.00;7.50;5.40;7.30;10.80;12.00;0.00;0.00
1482;5.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.30;0.00;0.00;0.00;0.00
1484;8.00;8.00;8.00;0.00;0.00;8.00;8.00;8.00;8.00;8.00;0.00;0.00;8.00;0.00;8.00;8.00;8.00;0.00;0.00;0.00
1485;0.00;7.60;6.80;0.00;0.00;7.00;0.00;7.50;7.50;0.00;0.00;0.00;7.00;0.00;0.00;0.00;0.00;0.00;7.50;0.00
1487;6.00;4.50;5.30;0.00;0.00;6.00;7.90;4.00;5.50;5.20;0.00;0.00;6.00;7.60;6.60;6.00;5.80;0.00;12.00;0.00
1488;9.00;7.00;0.00;0.00;0.00;8.00;7.50;8.00;0.00;8.00;0.00;0.00;8.00;6.00;8.70;9.50;0.00;0.00;0.00;0.00
1490;5.00;9.50;8.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.00;0.00;0.00;0.00;4.50;4.00;9.70;0.00;0.00;0.00
1491;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00
1492;7.50;8.00;8.00;0.00;0.00;0.00;0.00;8.00;8.00;0.00;0.00;0.00;8.00;9.00;8.00;9.00;0.00;0.00;0.00;0.00
1495;4.80;10.00;0.00;0.00;0.00;0.00;7.00;8.00;6.20;0.00;0.00;0.00;4.00;0.00;8.00;5.20;6.00;0.00;0.00;0.00
1496;6.40;4.00;0.00;0.00;0.00;7.90;5.90;6.20;3.60;0.00;0.00;12.00;6.70;5.80;6.00;0.00;0.00;0.00;0.00;0.00
1497;7.50;7.00;0.00;0.00;0.00;3.80;8.00;6.00;6.00;0.00;0.00;10.90;0.00;8.00;8.00;5.00;0.00;0.00;0.00;0.00
1498;8.00;8.00;8.00;12.00;0.00;8.00;0.00;0.00;8.00;8.00;0.00;0.00;8.00;8.00;0.00;8.00;8.00;0.00;0.00;0.00
